Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-54.14146	-118.6575	64.51604	0.0151754	0.00449853	0.00997275	0.00381909	9.50516e-05	0.0129995	0.0253013	0.00339692	0.00303323	0.00382276	0.00476604	0.00777732	0.0183101	0.00715891	0.000659788	0.0241069	0.00929384	0.0060145	0.00618505	0.0149645	0.00957373	0.00382712	0.00715045	0.00529349	0.00417805	0.00422339	0.000297712	0.00340122	0.000533141	0.00949095	0.000505927	0.00264761	0.00147834	0.00342164	0.0270493	0.000833909	0.00278015	0.0104456	0.00402304	0.0104554	0.0282604	0.00434388	0.00676431	0.0267324	0.00290131	0.00138757	0.00226949	0.9247354	1.075265	0.281658	0.539049	0.824656	1.21263	1.85512	3.55041	0.9161736	1.162781	0.0415058	0.0123038	0.0272762	0.0104455	0.000259973	0.0355547	0.0692008	0.00929082	0.00829612	0.0104555	0.0130355	0.0212715	0.0500794	0.0195801	0.00180457	0.0659341	0.0254193	0.0164501	0.0169166	0.0409289	0.0261848	0.0104674	0.019557	0.0144781	0.0114273	0.0115513	0.000814263	0.00930258	0.00145818	0.0259584	0.00138375	0.00724141	0.00404336	0.00935845	0.0739819	0.0022808	0.0076039	0.0285695	0.0110033	0.0285963	0.0772941	0.0118808	0.0185009	0.0731151	0.00793529	0.00379509	0.00620722	0.912173	0.0878266	0.9121734	0.3656209
36	-54.9736	-120.554	65.58041	0.0490787	0.00819442	0.0165613	0.00463444	0.00369499	0.012357	0.0154597	0.00508093	0.0256141	0.000732944	0.0157656	0.0325617	0.0254758	0.00168526	0.00399488	0.000515044	0.0136385	0.00721174	0.00694179	0.000194476	0.00132808	0.00768259	0.00538505	0.00498233	0.0214051	0.0169951	0.0141997	0.0219465	0.00895082	0.00980207	0.0143877	8.89473e-05	0.00721494	0.00494947	0.0434689	0.0183067	0.00170744	0.00443778	0.00373383	0.0133057	0.0189206	0.00770801	0.0104991	0.0311948	0.00760399	0.0138252	0.0073048	1.086074	0.9139265	0.748547	0.868273	0.95689	1.04505	1.15171	1.33592	0.2094161	0.8414959	0.085993	0.0143578	0.0290178	0.00812021	0.00647417	0.0216514	0.0270876	0.00890252	0.0448796	0.00128423	0.0276237	0.0570529	0.0446374	0.00295283	0.00699962	0.000902433	0.0238966	0.012636	0.012163	0.000340751	0.00232699	0.013461	0.0094354	0.00872977	0.0375048	0.029778	0.02488	0.0384535	0.0156831	0.0171747	0.0252093	0.000155849	0.0126416	0.0086722	0.0761638	0.032076	0.00299169	0.00777564	0.00654222	0.0233136	0.0331516	0.0135056	0.018396	0.0546579	0.0133233	0.0242237	0.0127991	0.798502	0.201498	0.7985016	0.5707286
72	-58.74772	-123.9865	65.23874	0.0359671	0.092529	0.00342776	0.0383918	0.00505565	0.0198558	0.052559	0.0315422	0.00611753	0.00877526	0.00878664	0.0575909	0.0124641	0.00262643	0.00760276	0.0106999	0.00386891	0.0010365	0.014359	0.0211519	0.0127734	0.000356431	0.009196	0.0101196	0.0410103	0.0190237	0.0165329	0.045681	0.0104935	0.0316769	0.0522489	0.000272394	0.0160204	0.0221083	0.0557574	0.00871097	0.0213856	0.00125329	0.0103174	0.0404611	0.0726365	0.00387718	0.0444029	0.0745723	0.0548328	0.0530807	0.0688192	1.188709	0.811291	0.765851	0.878005	0.960223	1.04142	1.13895	1.30574	0.1928915	0.6824976	0.0291934	0.0751029	0.00278221	0.0311614	0.00410352	0.0161163	0.0426605	0.0256018	0.00496541	0.0071226	0.00713184	0.0467448	0.0101167	0.00213179	0.00617092	0.00868481	0.00314027	0.000841295	0.0116547	0.0171683	0.0103678	0.000289304	0.00746411	0.00821377	0.0332868	0.015441	0.0134192	0.0370778	0.00851724	0.0257112	0.0424088	0.000221094	0.0130033	0.0179447	0.0452566	0.00707042	0.017358	0.00101726	0.00837429	0.032841	0.0589568	0.00314699	0.0360405	0.060528	0.0445061	0.043084	0.0558584	0.74691	0.25309	0.7469102	1.232029
108	-64.80244	-131.1023	66.29988	0.0166202	0.00877727	0.0102373	0.00193314	0.0212543	0.00327188	0.0202448	0.0176784	0.00958171	0.0014339	0.00454954	0.00365483	0.0129509	0.00235914	0.00356036	0.0232314	0.00481903	0.0123233	0.000465899	0.00323826	0.0145192	0.000190662	0.00199221	0.00683235	0.00770262	0.00570439	0.0104047	0.0094834	0.014865	0.0110995	0.0165803	0.00227741	0.00703749	0.00507765	0.0124567	0.00415827	0.004803	0.008752	0.00370996	0.00232998	0.00805529	0.000538761	0.0108057	0.0446238	0.0176414	0.00797133	0.0164499	1.370475	0.6295249	0.967061	0.983798	0.994917	1.00511	1.01647	1.03406	0.02421796	0.4593479	0.0379242	0.0200281	0.0233596	0.00441106	0.0484983	0.00746582	0.0461948	0.0403388	0.0218636	0.00327189	0.0103812	0.00833962	0.0295516	0.00538312	0.00812406	0.0530096	0.0109961	0.0281193	0.00106309	0.0073891	0.0331299	0.000435054	0.00454584	0.0155901	0.0175759	0.0130163	0.0237415	0.0216393	0.0339191	0.0253271	0.037833	0.00519662	0.0160582	0.0115862	0.0284237	0.00948839	0.0109595	0.0199704	0.00846541	0.00531656	0.0183806	0.00122935	0.0246566	0.101823	0.0402544	0.0181891	0.0375356	0.664826	0.335174	0.6648255	0.4382487
144	-63.99675	-129.135	65.13822	0.0213035	0.00192741	0.0142874	0.0114464	0.0029959	0.0403404	0.0160787	0.00065374	0.00431416	0.00108314	0.0136524	0.00431703	0.00179888	0.000839941	0.000136749	0.00485235	0.00477361	0.00854589	0.0021343	0.00592545	0.00153105	0.00568545	0.0122117	0.000350327	0.0123847	0.000943514	0.0172082	0.026087	0.0227376	0.0420846	0.0137438	0.0234957	0.00262241	0.0354996	0.000291669	0.0039514	0.0190548	0.00849306	0.00790523	0.0140073	0.00469667	0.000962662	0.00242245	0.0224573	0.00777519	0.0156508	0.0161205	1.114654	0.8853456	0.371704	0.61714	0.860208	1.16251	1.62038	2.69031	0.7155908	0.7942781	0.0424556	0.00384113	0.0284732	0.0228115	0.00597052	0.0803943	0.0320431	0.00130284	0.00859768	0.00215858	0.0272078	0.0086034	0.00358498	0.00167392	0.000272527	0.00967023	0.00951332	0.0170311	0.00425345	0.0118088	0.00305123	0.0113305	0.0243367	0.000698165	0.0246814	0.00188033	0.0342942	0.0519888	0.0453138	0.0838702	0.0273899	0.0468246	0.0052262	0.0707471	0.000581267	0.00787474	0.0379742	0.0169258	0.0157543	0.027915	0.00935998	0.00191849	0.0048277	0.0447551	0.0154952	0.0311904	0.0321265	0.590691	0.409309	0.5906906	0.5017818
180	-63.13172	-127.7801	64.64835	0.0275126	0.0131854	0.0127963	0.0140903	0.00363571	0.0274238	0.0104164	0.010516	0.0168597	0.0201572	0.000595516	0.00304588	0.0040083	0.00790569	0.00105394	0.0157357	0.00673065	0.00127636	0.000296692	0.0152834	0.00459713	0.00571336	0.00362558	0.00926071	0.005495	0.00179285	0.0113888	0.00390364	0.00222146	0.00342155	0.00369609	0.00523744	0.0217322	0.00917963	0.000869073	0.0100639	0.00187492	0.00789879	0.0181812	0.00449619	0.0175938	0.015595	0.0179701	0.05072	0.0131039	0.0483767	0.000302367	1.103343	0.8966572	0.194584	0.450086	0.779533	1.28282	2.2218	5.13917	1.183585	0.8126733	0.0538578	0.0258114	0.0250497	0.0275828	0.00711717	0.053684	0.0203908	0.0205859	0.0330041	0.0394592	0.00116576	0.00596252	0.00784654	0.0154759	0.00206316	0.0308037	0.0131757	0.00249857	0.000580796	0.0299183	0.00899922	0.0111843	0.00709733	0.0181285	0.0107569	0.00350962	0.0222944	0.00764165	0.00434867	0.00669792	0.00723536	0.0102527	0.0425423	0.0179698	0.00170127	0.0197008	0.0036703	0.0154624	0.0355909	0.00880161	0.0344411	0.0305283	0.0351778	0.099288	0.0256519	0.0947009	0.000591906	0.339741	0.660259	0.3397408	0.5108371
216	-63.77595	-127.7442	63.96826	0.0240781	0.00794762	0.00120356	0.00239703	0.0156787	0.0533943	0.0129369	0.00652697	0.0113622	0.0154928	0.00783037	0.000954752	0.00664901	0.00116379	0.00228894	0.00225896	0.00225546	0.00527001	0.00204374	0.00594774	0.00838513	0.00327546	0.00756076	0.00136154	0.0110034	0.00359283	0.00706284	0.00479986	0.0130917	0.0012235	0.00197535	0.00706975	0.0151513	0.00256188	0.00970691	0.00203446	0.000296595	0.000412284	0.00188792	0.00114692	0.000773013	0.0108772	0.00681455	0.00862696	0.0172373	0.00973106	0.00825126	0.7618256	1.238174	0.220537	0.478425	0.794525	1.25861	2.09019	4.53439	1.093057	1.625273	0.0680955	0.0224767	0.00340379	0.00677905	0.0443412	0.151005	0.0365871	0.018459	0.0321334	0.0438155	0.0221452	0.00270015	0.0188041	0.00329134	0.00647338	0.0063886	0.00637868	0.0149042	0.00577992	0.0168209	0.0237141	0.00926337	0.0213827	0.00385058	0.0311188	0.0101609	0.0199745	0.0135745	0.0370249	0.00346019	0.00558651	0.019994	0.0428497	0.00724529	0.0274522	0.00575367	0.000838805	0.00116599	0.00533925	0.00324361	0.00218617	0.0307619	0.0192723	0.024398	0.0487491	0.0275205	0.0233355	0.863076	0.136924	0.8630765	0.3535928
252	-62.4115	-126.4041	63.99264	0.0260853	0.00264543	0.00461111	0.0264519	0.0252716	0.0273628	0.0298102	0.0172426	0.0273613	0.0113337	0.00349067	0.0375805	0.00480856	0.00402646	0.0020115	0.0206363	0.000841793	0.0119448	0.00200243	0.00212536	0.00479108	0.0149709	0.00675483	0.00343181	0.0125646	0.00693172	0.00787598	0.0124807	0.0381969	0.00167442	0.0172219	0.00277912	0.0519699	0.00277554	0.0203286	0.0168486	1.18514e-05	0.0141079	0.0301938	0.00600747	0.00222728	0.00181823	0.0149784	0.0149562	0.0251676	0.0237692	0.00663615	0.5589775	1.441022	0.473116	0.694194	0.89237	1.12061	1.44052	2.11364	0.5411547	2.577961	0.0401859	0.00407544	0.00710369	0.0407508	0.0389323	0.042154	0.0459244	0.0265632	0.0421518	0.0174603	0.00537758	0.0578949	0.00740787	0.00620299	0.00309884	0.0317915	0.00129683	0.0184016	0.00308486	0.00327424	0.00738094	0.0230636	0.0104062	0.0052869	0.0193565	0.0106787	0.0121334	0.0192272	0.0588446	0.00257954	0.0265314	0.0042814	0.0800627	0.00427589	0.0313174	0.0259562	1.82578e-05	0.021734	0.0465153	0.00925486	0.00343125	0.00280108	0.0230751	0.0230409	0.0387722	0.0366179	0.0102234	0.730384	0.269616	0.7303838	0.649115
288	-57.34971	-123.3658	66.01613	0.0506623	0.011423	0.0094699	0.00886165	0.00066284	0.0116267	0.00428026	0.00550782	0.00268173	0.0130523	0.00166505	0.0238707	0.0320398	0.00314408	0.012272	0.0101194	0.0029201	0.00671849	0.000903488	0.00173139	0.011454	0.0217275	0.0120602	0.0275228	0.0109996	0.0108505	0.00262172	0.0152912	0.0149812	0.000831434	0.0285608	0.00754644	0.00205376	0.0150749	0.00529671	0.00247014	0.0338629	0.00623709	0.00926632	0.0103449	0.00286332	0.0233979	0.00239684	0.0043072	0.00868241	0.00701784	0.00106698	1.57501	0.4249899	0.375034	0.619831	0.861376	1.16093	1.61334	2.66643	0.7091423	0.2698331	0.0988727	0.0222931	0.0184815	0.0172944	0.0012936	0.0226907	0.00835337	0.0107491	0.00523367	0.0254729	0.00324951	0.046586	0.062529	0.00613599	0.0239501	0.0197491	0.00569887	0.0131118	0.00176325	0.00337899	0.0223536	0.0424035	0.0235367	0.0537135	0.0214668	0.0211758	0.00511656	0.0298423	0.0292373	0.00162263	0.0557393	0.0147277	0.00400813	0.0294201	0.0103371	0.00482073	0.0660869	0.0121723	0.0180842	0.0201891	0.00558807	0.0456635	0.00467768	0.00840594	0.0169446	0.013696	0.00208233	0.656072	0.343928	0.6560715	0.5123994
324	-61.79076	-128.1103	66.31953	0.00737872	0.00910062	0.0232726	0.014766	0.000950848	0.0625024	0.024964	0.00666002	0.0199549	0.0176282	0.00881501	0.0107836	0.00292183	0.0134881	0.0045986	0.0113988	0.0205709	0.00530501	0.0093271	0.0306212	0.0103322	0.000652848	0.0323572	0.0578201	0.00276116	0.0249463	0.0177527	0.00641038	0.0124513	0.00584198	0.0403839	0.00829758	0.0113447	0.0105959	0.00180889	0.0295092	0.0492399	0.00730783	0.0143993	0.024457	0.000859892	0.0600746	0.0013132	0.00846051	0.00653328	0.0145544	0.0212374	1.516468	0.4835322	0.790336	0.891585	0.964832	1.03645	1.1216	1.26528	0.170136	0.3188543	0.00937919	0.0115679	0.029582	0.0187693	0.00120863	0.0794476	0.031732	0.00846563	0.0253649	0.0224074	0.0112049	0.0137072	0.00371397	0.0171449	0.00584533	0.0144892	0.026148	0.00674327	0.0118558	0.038923	0.0131334	0.000829843	0.0411296	0.0734958	0.00350975	0.0317096	0.0225657	0.00814832	0.015827	0.00742581	0.0513325	0.0105472	0.0144204	0.0134686	0.00229931	0.0375096	0.0625894	0.00928908	0.0183032	0.0310876	0.00109302	0.0763615	0.00166922	0.0107543	0.00830454	0.0185003	0.0269952	0.75618	0.24382	0.7561796	0.7867122
